
Host: rho

DFMP2 gamma :       0.09u       0.01s 0.02583800w      1 call
DFMP2 Gia Read:       0.01u       0.00s   0.002095w      2 calls
DFMP2 g     :       0.07u       0.01s 0.01972300w      1 call
DFMP2 Gia   :       0.05u       0.01s 0.01703000w      1 call
DFMP2 aiG Write:       0.00u       0.01s 0.00258200w      1 call
DFMP2 AB^x  :       0.27u       0.00s 0.06665400w      1 call
DFMP2 Amn^x :       2.06u       0.02s 0.52233600w      1 call
DFMP2 L     :       0.95u       0.05s 0.24859200w      1 call
DFMP2 P     :       0.00u       0.00s 0.00205700w      1 call
DFMP2 W     :       0.01u       0.00s 0.00198800w      1 call
DFMP2 Z     :       2.90u       0.07s 0.74628900w      1 call

***********************************************************

Host: rho

Timers On : Wed May 15 12:02:22 2019
Timers Off: Wed May 15 12:03:23 2019

Wall Time:       61.00 seconds

JK: (A|mn)  :       1.02u       0.00s   0.263689w      5 calls
JK: (A|Q)^-1/2:       1.11u       0.00s   0.281578w      5 calls
JK: (Q|mn)  :       0.42u       0.01s   0.105081w      5 calls
HF: Form H  :       0.02u       0.00s 0.00533900w      1 call
HF: Form S/X:       0.00u       0.00s 0.00199000w      1 call
HF: Guess   :       1.24u       0.00s 0.31202700w      1 call
SAD Guess   :       1.23u       0.00s 0.30981600w      1 call
JK: D       :       0.00u       0.00s   0.001230w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.000437w     46 calls
JK: JK      :       2.54u       0.04s   0.644148w     46 calls
JK: J       :       0.30u       0.00s   0.086863w     46 calls
JK: J1      :       0.12u       0.00s   0.044816w     65 calls
JK: J2      :       0.17u       0.00s   0.040461w     65 calls
JK: K       :       2.10u       0.02s   0.529275w     46 calls
JK: K1      :       1.40u       0.00s   0.347274w     75 calls
JK: K2      :       0.69u       0.02s   0.181467w     63 calls
JK: AO2USO  :       0.00u       0.00s   0.000046w     46 calls
DIISManager::add_entry:       0.02u       0.00s   0.003978w     32 calls
DIISManager::extrapolate:       0.01u       0.00s   0.007050w     31 calls
DIISManager::extrapolate: bMatrix setup:       0.01u       0.00s   0.002980w     31 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000768w     31 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.003166w     31 calls
HF: Form G  :       1.01u       0.03s   0.256954w     15 calls
HF: Form F  :       0.00u       0.00s   0.000456w     15 calls
HF: DIIS    :       0.05u       0.00s   0.018670w     15 calls
HF: Form C  :       0.12u       0.00s   0.031753w     15 calls
HF: Form D  :       0.00u       0.00s   0.000485w     15 calls
DFMP2 Singles:       0.01u       0.00s 0.00038100w      1 call
DFMP2 Aia   :       0.82u       0.03s 0.21260300w      1 call
DFMP2 (A|mn):       0.35u       0.00s 0.08640400w      1 call
DFMP2 (A|mn)C_mi:       0.05u       0.00s 0.01329700w      1 call
DFMP2 (A|mi)C_na:       0.01u       0.00s 0.00228300w      1 call
DFMP2 Aia Write:       0.01u       0.00s 0.00307400w      1 call
DFMP2 iaQ   :       0.62u       0.03s 0.16364700w      1 call
DFMP2 Metric:       0.43u       0.01s 0.10932800w      1 call
DFMP2 Aia Read:       0.01u       0.00s 0.00166900w      1 call
DFMP2 (Q|A)(A|ia):       0.14u       0.00s   0.039595w      2 calls
DFMP2 Qia Write:       0.01u       0.01s 0.00304800w      1 call
DFMP2 Qia Read:       0.01u       0.01s   0.002853w      3 calls
DFMP2 Bia Write:       0.01u       0.01s 0.00310700w      1 call
DFMP2 aiQ   :       0.02u       0.01s 0.00839800w      1 call
DFMP2 Tij   :       0.69u       0.05s 0.18702200w      1 call
DFMP2 Cia Read:       0.01u       0.00s   0.002314w      2 calls
DFMP2 I     :       0.50u       0.02s   0.131305w      2 calls
DFMP2 T2    :       0.05u       0.00s   0.012596w      2 calls
DFMP2 G     :       0.26u       0.01s 0.06594300w      1 call
DFMP2 Pab   :       0.08u       0.00s 0.02193600w      1 call
DFMP2 Gia Write:       0.01u       0.00s 0.00338100w      1 call
DFMP2 Tab   :       0.36u       0.03s 0.09709600w      1 call
DFMP2 Qai Read:       0.00u       0.01s   0.001815w      2 calls
DFMP2 Pij   :       0.02u       0.01s 0.00702000w      1 call
DFMP2 gamma :       0.10u       0.00s 0.02576400w      1 call
DFMP2 Gia Read:       0.02u       0.00s   0.002126w      2 calls
DFMP2 g     :       0.08u       0.00s 0.01970600w      1 call
DFMP2 Gia   :       0.05u       0.02s 0.01726000w      1 call
DFMP2 aiG Write:       0.00u       0.01s 0.00261400w      1 call
DFMP2 AB^x  :       0.26u       0.00s 0.06653600w      1 call
DFMP2 Amn^x :       2.03u       0.03s 0.51715700w      1 call
DFMP2 L     :       0.95u       0.05s 0.25150900w      1 call
DFMP2 P     :       0.01u       0.00s 0.00238700w      1 call
DFMP2 W     :       0.00u       0.00s 0.00200300w      1 call
DFMP2 Z     :       2.96u       0.03s 0.75784800w      1 call

***********************************************************

Host: rho

Timers On : Wed May 15 12:03:57 2019
Timers Off: Wed May 15 12:05:00 2019

Wall Time:       63.00 seconds

JK: (A|mn)  :       1.02u       0.00s   0.254808w      5 calls
JK: (A|Q)^-1/2:       1.10u       0.03s   0.281364w      5 calls
JK: (Q|mn)  :       0.39u       0.02s   0.105488w      5 calls
HF: Form H  :       0.02u       0.00s 0.00624000w      1 call
HF: Form S/X:       0.01u       0.00s 0.00201100w      1 call
HF: Guess   :       1.22u       0.01s 0.31222700w      1 call
SAD Guess   :       1.22u       0.01s 0.31002400w      1 call
JK: D       :       0.01u       0.00s   0.001226w     45 calls
JK: USO2AO  :       0.00u       0.00s   0.000433w     45 calls
JK: JK      :       2.51u       0.02s   0.653335w     45 calls
JK: J       :       0.30u       0.00s   0.085762w     45 calls
JK: J1      :       0.11u       0.00s   0.044108w     63 calls
JK: J2      :       0.19u       0.00s   0.039999w     63 calls
JK: K       :       2.14u       0.00s   0.540358w     45 calls
JK: K1      :       1.45u       0.00s   0.357446w     73 calls
JK: K2      :       0.69u       0.00s   0.182380w     61 calls
JK: AO2USO  :       0.00u       0.00s   0.000044w     45 calls
DIISManager::add_entry:       0.05u       0.00s   0.003905w     31 calls
DIISManager::extrapolate:       0.03u       0.00s   0.007164w     30 calls
DIISManager::extrapolate: bMatrix setup:       0.01u       0.00s   0.003030w     30 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.000763w     30 calls
DIISManager::extrapolate: form new data:       0.01u       0.00s   0.003235w     30 calls
HF: Form G  :       1.01u       0.01s   0.269213w     15 calls
HF: Form F  :       0.00u       0.00s   0.000661w     15 calls
HF: DIIS    :       0.10u       0.00s   0.019631w     15 calls
HF: Form C  :       0.14u       0.01s   0.032423w     15 calls
HF: Form D  :       0.00u       0.00s   0.000484w     15 calls
DFMP2 Singles:       0.00u       0.00s 0.00038500w      1 call
DFMP2 Aia   :       0.79u       0.04s 0.21605200w      1 call
DFMP2 (A|mn):       0.35u       0.00s 0.08877500w      1 call
DFMP2 (A|mn)C_mi:       0.05u       0.00s 0.01319100w      1 call
DFMP2 (A|mi)C_na:       0.01u       0.00s 0.00233000w      1 call
DFMP2 Aia Write:       0.01u       0.00s 0.00313000w      1 call
DFMP2 iaQ   :       0.60u       0.04s 0.16322800w      1 call
