
Host: rho

Timers On : Wed May 15 11:49:41 2019
Timers Off: Wed May 15 11:50:50 2019

Wall Time:       69.20 seconds

| | DFH: compute_JK()       :      0.700u      0.033s      0.424w     13 calls
| | | DFH: Grabbing AOs     :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J        :      0.133u      0.000s      0.085w     13 calls
| | | DFH: compute_K        :      0.567u      0.017s      0.338w     13 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     13 calls

***********************************************************

Host: rho

Timers On : Tue May 21 09:33:54 2019
Timers Off: Tue May 21 09:34:02 2019

Wall Time:        8.03 seconds

JK: (A|mn)                  :      0.117u      0.000s      0.066w      1 calls
JK: (A|Q)^-1/2              :      0.083u      0.000s      0.058w      1 calls
JK: (Q|mn)                  :      0.017u      0.000s      0.009w      1 calls
HF: Form H                  :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.000w      1 calls
HF: Guess                   :      0.167u      0.000s      0.110w      1 calls
SAD Guess                   :      0.167u      0.000s      0.108w      1 calls
HF: Form G                  :      0.100u      0.000s      0.047w     11 calls
JK: D                       :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     11 calls
JK: JK                      :      0.100u      0.000s      0.047w     11 calls
JK: J                       :      0.000u      0.000s      0.002w     11 calls
JK: J1                      :      0.000u      0.000s      0.001w     11 calls
JK: J2                      :      0.000u      0.000s      0.001w     11 calls
JK: K                       :      0.100u      0.000s      0.043w     11 calls
JK: K1                      :      0.083u      0.000s      0.035w     11 calls
JK: K2                      :      0.017u      0.000s      0.008w     11 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     11 calls
DIISManager::add_entry      :      0.000u      0.000s      0.002w     10 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.001w      9 calls
bMatrix setup               :      0.000u      0.000s      0.000w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.000s      0.000w      9 calls
HF: Form C                  :      0.000u      0.000s      0.003w     11 calls
HF: Form D                  :      0.000u      0.000s      0.000w     11 calls

-----------------------------------------------------------
JK: (A|mn)                  :      0.117u      0.000s      0.066w      1 calls
JK: (A|Q)^-1/2              :      0.083u      0.000s      0.058w      1 calls
JK: (Q|mn)                  :      0.017u      0.000s      0.009w      1 calls
HF: Form H                  :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.000w      1 calls
HF: Guess                   :      0.167u      0.000s      0.110w      1 calls
| SAD Guess                 :      0.167u      0.000s      0.108w      1 calls
HF: Form G                  :      0.100u      0.000s      0.047w     11 calls
| JK: D                     :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     11 calls
| JK: JK                    :      0.100u      0.000s      0.047w     11 calls
| | JK: J                   :      0.000u      0.000s      0.002w     11 calls
| | | JK: J1                :      0.000u      0.000s      0.001w     11 calls
| | | JK: J2                :      0.000u      0.000s      0.001w     11 calls
| | JK: K                   :      0.100u      0.000s      0.043w     11 calls
| | | JK: K1                :      0.083u      0.000s      0.035w     11 calls
| | | JK: K2                :      0.017u      0.000s      0.008w     11 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     11 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.002w     10 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.001w      9 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      9 calls
| | New vector              :      0.000u      0.000s      0.000w      9 calls
HF: Form C                  :      0.000u      0.000s      0.003w     11 calls
HF: Form D                  :      0.000u      0.000s      0.000w     11 calls

***********************************************************

Host: rho

Timers On : Tue May 21 09:34:47 2019
Timers Off: Tue May 21 09:34:56 2019

Wall Time:        8.09 seconds

JK: (A|mn)                  :      0.117u      0.000s      0.065w      1 calls
JK: (A|Q)^-1/2              :      0.100u      0.000s      0.060w      1 calls
JK: (Q|mn)                  :      0.000u      0.000s      0.009w      1 calls
HF: Form H                  :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.200u      0.000s      0.111w      1 calls
SAD Guess                   :      0.183u      0.000s      0.109w      1 calls
HF: Form G                  :      0.083u      0.000s      0.047w     11 calls
JK: D                       :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     11 calls
JK: JK                      :      0.083u      0.000s      0.047w     11 calls
JK: J                       :      0.000u      0.000s      0.002w     11 calls
JK: J1                      :      0.000u      0.000s      0.001w     11 calls
JK: J2                      :      0.000u      0.000s      0.001w     11 calls
JK: K                       :      0.083u      0.000s      0.043w     11 calls
JK: K1                      :      0.050u      0.000s      0.035w     11 calls
JK: K2                      :      0.033u      0.000s      0.008w     11 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     11 calls
DIISManager::add_entry      :      0.000u      0.000s      0.002w     10 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.001w      9 calls
bMatrix setup               :      0.000u      0.000s      0.000w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.000s      0.000w      9 calls
HF: Form C                  :      0.000u      0.000s      0.003w     11 calls
HF: Form D                  :      0.000u      0.000s      0.000w     11 calls

-----------------------------------------------------------
JK: (A|mn)                  :      0.117u      0.000s      0.065w      1 calls
JK: (A|Q)^-1/2              :      0.100u      0.000s      0.060w      1 calls
JK: (Q|mn)                  :      0.000u      0.000s      0.009w      1 calls
HF: Form H                  :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.200u      0.000s      0.111w      1 calls
| SAD Guess                 :      0.183u      0.000s      0.109w      1 calls
HF: Form G                  :      0.083u      0.000s      0.047w     11 calls
| JK: D                     :      0.000u      0.000s      0.000w     11 calls
